Age,MonthlyIncome,PreferredTenure_Yeras,Purpose,EmploymentStatus,Education,MaritalStatus,Gender,PreviousLoans,ExistingEMIs,Expenses,RepaymentCapacity,LoanType,LoanAmount
33,89968,7,Education,Self-Employed,Masters,Single,Female,1,6226,33341,50401,EducationLoan,1641282
28,77153,4,Medical,Salaried,Diploma,Married,Male,0,9117,46927,21109,MedicalLoan,385983
47,23482,2,Personal,Retired,HighSchool,Married,Male,0,2899,12921,7662,PersonalLoan,75065
33,55947,5,Personal,Salaried,Bachelors,Single,Male,0,4012,35665,16270,PersonalLoan,333932
30,19099,3,Personal,Unemployed,Masters,Married,Male,0,2140,11858,5101,PersonalLoan,58170
31,15519,7,Auto,Retired,HighSchool,Married,Female,1,1549,10749,3221,AutoLoan,61489
40,27431,3,Personal,Salaried,HighSchool,Married,Female,1,4396,17879,5156,PersonalLoan,45292
38,23613,2,Wedding,Retired,Bachelors,Single,Male,1,10,12700,10903,WeddingLoan,98627
39,58909,9,Education,Salaried,Bachelors,Divorced,Female,1,9885,23844,25180,EducationLoan,587718
39,91671,5,Education,Self-Employed,Bachelors,Married,Male,0,3255,61121,27295,EducationLoan,700504
56,92232,4,Auto,Salaried,Masters,Single,Other,0,7710,43494,41028,AutoLoan,685319
30,37160,2,Personal,Salaried,HighSchool,Married,Female,1,2878,18752,15530,PersonalLoan,128979
29,21921,5,Education,Salaried,Diploma,Married,Male,0,3066,7431,11424,EducationLoan,206495
26,63481,13,Business,Salaried,Diploma,Married,Female,1,6401,37073,20007,BusinessLoan,868819
41,49258,4,Auto,Salaried,Diploma,Married,Female,0,2873,35505,10880,AutoLoan,163298
46,36057,4,Auto,Salaried,Bachelors,Single,Male,0,4500,12955,18602,AutoLoan,295546
33,91842,19,Home,Self-Employed,Bachelors,Married,Male,0,10037,46465,35340,HomeLoan,1359154
26,62085,21,Home,Salaried,Diploma,Single,Female,1,6001,27837,28247,HomeLoan,1120147
26,62871,4,Travel,Salaried,Bachelors,Married,Male,0,2537,40874,19460,TravelLoan,338297
41,12708,2,DebtConsolidation,Retired,HighSchool,Single,Male,2,1207,3384,8117,DebtConsolidationLoan,93002
42,32592,2,Medical,Retired,Bachelors,Single,Male,0,4270,11895,16427,MedicalLoan,165639
40,94120,3,Travel,Salaried,Diploma,Single,Female,0,9107,30064,54949,TravelLoan,600000
28,72374,19,Home,Salaried,Bachelors,Married,Male,1,8463,47493,16418,HomeLoan,649840
37,63126,5,DebtConsolidation,Self-Employed,HighSchool,Married,Male,0,6293,35081,21752,DebtConsolidationLoan,387326
36,35549,3,Personal,Student,Masters,Married,Male,3,3272,20097,12180,PersonalLoan,210067
37,92322,1,Medical,Salaried,Masters,Single,Male,1,8957,38036,45329,MedicalLoan,271520
43,29949,6,Personal,Student,Masters,Single,Female,1,2937,16726,10286,PersonalLoan,161800
37,80255,7,Education,Salaried,Masters,Married,Male,3,16794,53142,10319,EducationLoan,332897
41,43649,3,Auto,Salaried,HighSchool,Single,Female,0,927,24114,18608,AutoLoan,324980
35,69408,13,Home,Self-Employed,Bachelors,Married,Male,1,10560,45639,13209,HomeLoan,525960
37,25655,3,Personal,Self-Employed,Diploma,Divorced,Female,1,4663,17148,3844,PersonalLoan,60089
41,19569,6,Personal,Unemployed,Masters,Married,Male,0,220,9918,9431,PersonalLoan,254117
21,45841,3,Wedding,Salaried,HighSchool,Single,Female,0,3698,23781,18362,WeddingLoan,242455
31,77218,28,Home,Salaried,HighSchool,Married,Male,1,10036,64466,2716,HomeLoan,172539
30,85554,3,Personal,Salaried,Bachelors,Divorced,Female,1,12399,29630,43525,PersonalLoan,746544
28,25825,2,Personal,Salaried,HighSchool,Married,Male,0,0,14115,11710,PersonalLoan,125561
32,45627,12,Home,Salaried,Bachelors,Married,Male,1,5635,22650,17342,HomeLoan,709268
49,36737,5,Education,Salaried,Diploma,Single,Female,1,3720,16858,16159,EducationLoan,328743
26,91798,2,Personal,Salaried,Bachelors,Married,Male,1,9058,68278,14462,PersonalLoan,118281
44,78592,4,Personal,Self-Employed,Masters,Single,Male,0,12792,41949,23851,PersonalLoan,345647
21,35965,7,Auto,Salaried,Bachelors,Married,Female,2,4725,19718,11522,AutoLoan,272949
31,71328,26,Home,Salaried,HighSchool,Married,Female,0,6990,46689,17649,HomeLoan,722281
36,29808,5,Education,Self-Employed,HighSchool,Married,Female,0,2241,15531,12036,EducationLoan,272722
40,63567,4,Travel,Salaried,HighSchool,Single,Female,1,7606,27934,28027,TravelLoan,514021
42,3000,4,Medical,Unemployed,HighSchool,Married,Male,0,306,1836,858,MedicalLoan,15790
42,73536,5,Auto,Salaried,Bachelors,Single,Male,1,10717,45981,16838,AutoLoan,459086
31,51138,9,Business,Salaried,Diploma,Married,Female,1,4036,31447,15655,BusinessLoan,597751
30,22653,4,DebtConsolidation,Retired,Diploma,Married,Male,3,3989,13405,5259,DebtConsolidationLoan,82014
43,58729,5,Auto,Self-Employed,HighSchool,Married,Male,0,5140,45429,8160,AutoLoan,197242
33,51502,3,Auto,Self-Employed,Masters,Single,Male,0,725,13102,37675,AutoLoan,395564
22,58564,28,Home,Self-Employed,HighSchool,Married,Male,0,2451,34600,21513,HomeLoan,794159
23,84367,4,Auto,Salaried,Diploma,Married,Male,1,12287,41835,30245,AutoLoan,364246
25,93674,1,Travel,Self-Employed,Bachelors,Married,Male,2,11385,48351,33938,TravelLoan,162836
39,14531,4,Travel,Retired,HighSchool,Married,Female,2,3553,8724,2254,TravelLoan,39167
36,45463,1,Personal,Retired,Masters,Married,Female,0,5388,31736,8339,PersonalLoan,40292
41,57869,9,Education,Salaried,HighSchool,Single,Female,0,5675,21872,30322,EducationLoan,743529
30,41714,1,Medical,Salaried,Bachelors,Single,Male,1,7109,20728,13877,MedicalLoan,63187
36,21671,5,Auto,Student,Bachelors,Married,Male,2,3704,10407,7560,AutoLoan,136896
41,56374,5,Auto,Salaried,Masters,Married,Female,0,4925,24915,26534,AutoLoan,639188
31,37703,14,Home,Salaried,Bachelors,Single,Male,0,884,18365,18454,HomeLoan,799199
39,94607,3,Travel,Salaried,Bachelors,Single,Male,1,12925,37667,44015,TravelLoan,517817
28,99082,10,Business,Salaried,Bachelors,Divorced,Female,0,13462,64310,21310,BusinessLoan,799548
31,92324,6,Personal,Salaried,Bachelors,Married,Female,1,7966,75045,9313,PersonalLoan,209168
31,67736,9,Business,Salaried,Bachelors,Married,Male,0,471,34487,32778,BusinessLoan,740647
23,42067,7,Auto,Salaried,Bachelors,Married,Female,1,2828,16358,22881,AutoLoan,691314
39,49520,8,Education,Salaried,Bachelors,Divorced,Female,0,7446,16999,25075,EducationLoan,677030
30,45064,4,Travel,Retired,HighSchool,Married,Female,0,3750,20569,20745,TravelLoan,393638
35,40822,5,DebtConsolidation,Salaried,Diploma,Single,Male,1,6874,19216,14732,DebtConsolidationLoan,268202
39,59686,2,Personal,Salaried,Diploma,Married,Female,1,6611,34253,18822,PersonalLoan,168172
39,83349,6,Auto,Salaried,HighSchool,Divorced,Female,1,7513,31185,44651,AutoLoan,974012
41,98270,5,Wedding,Salaried,Bachelors,Married,Male,1,19200,76514,2556,WeddingLoan,52510
34,3347,3,Personal,Retired,HighSchool,Single,Female,2,419,1828,1100,PersonalLoan,12676
30,46970,7,Education,Retired,Bachelors,Divorced,Female,0,3290,30808,12872,EducationLoan,393576
34,60833,22,Home,Salaried,Bachelors,Married,Male,0,5987,25543,29303,HomeLoan,1201564
21,25862,23,Home,Salaried,Bachelors,Single,Male,0,1769,15705,8388,HomeLoan,342766
21,47253,5,Personal,Salaried,Bachelors,Widowed,Male,0,5251,24340,17662,PersonalLoan,345492
21,79365,5,Personal,Salaried,HighSchool,Married,Female,3,14908,44509,19948,PersonalLoan,357205
25,60228,6,Auto,Salaried,HighSchool,Married,Male,1,7795,34476,17957,AutoLoan,228207
38,63487,4,Auto,Salaried,Bachelors,Divorced,Male,0,3513,27303,32671,AutoLoan,483421
25,72088,5,Personal,Salaried,Masters,Single,Male,1,3136,33571,35381,PersonalLoan,738686
31,70027,1,Personal,Self-Employed,Bachelors,Married,Female,0,3271,48644,18112,PersonalLoan,79541
47,55582,9,Education,Salaried,Bachelors,Single,Female,3,7795,13896,33891,EducationLoan,855523
31,46523,6,Auto,Salaried,Bachelors,Married,Male,1,5662,33484,7377,AutoLoan,175168
42,112041,2,Travel,Salaried,Bachelors,Married,Female,0,5310,64899,41832,TravelLoan,381361
25,104965,2,Wedding,Salaried,Bachelors,Married,Male,1,5394,61822,37749,WeddingLoan,267266
32,54161,4,Education,Salaried,Bachelors,Married,Male,0,1849,34856,17456,EducationLoan,261455
25,20518,11,Business,Salaried,HighSchool,Married,Female,1,2575,12442,5501,BusinessLoan,231615
31,58979,1,Travel,Salaried,HighSchool,Single,Male,1,8109,21941,28929,TravelLoan,142784
43,57650,12,Home,Salaried,Diploma,Single,Female,2,6903,23216,27531,HomeLoan,653787
21,20361,5,DebtConsolidation,Student,Bachelors,Single,Female,2,2525,12216,5620,DebtConsolidationLoan,150565
39,35416,3,Personal,Retired,Bachelors,Married,Female,1,4766,16011,14639,PersonalLoan,173803
37,73163,3,Personal,Salaried,Diploma,Married,Male,0,6337,42457,24369,PersonalLoan,370804
29,77690,2,Personal,Salaried,Diploma,Married,Male,0,9901,35656,32133,PersonalLoan,345963
21,68804,5,Auto,Self-Employed,Bachelors,Single,Male,0,5070,34318,29416,AutoLoan,594635
35,73425,2,Medical,Self-Employed,Diploma,Married,Female,0,3432,39671,30322,MedicalLoan,241125
29,57197,5,Business,Salaried,Masters,Married,Female,3,12209,25455,19533,BusinessLoan,268467
37,81204,19,Home,Salaried,HighSchool,Widowed,Female,0,5485,35982,39737,HomeLoan,1581585
35,53536,6,Personal,Salaried,Diploma,Married,Female,0,2594,32359,18583,PersonalLoan,360648
51,104856,4,Wedding,Self-Employed,Bachelors,Married,Male,0,12133,65903,26820,WeddingLoan,442869
32,72757,4,DebtConsolidation,Salaried,Diploma,Married,Female,1,12221,27377,33159,DebtConsolidationLoan,640925
24,50366,2,Personal,Salaried,HighSchool,Single,Female,1,5909,20623,23834,PersonalLoan,198009
36,79049,3,Auto,Salaried,Diploma,Single,Male,1,5520,36840,36689,AutoLoan,391753
37,13354,8,Education,Salaried,Diploma,Married,Female,0,1888,8960,2506,EducationLoan,64757
48,75365,5,Auto,Salaried,Diploma,Married,Female,0,7165,49283,18917,AutoLoan,456830
43,57918,1,Travel,Self-Employed,Bachelors,Single,Female,0,5143,21691,31084,TravelLoan,150127
38,38962,2,Medical,Salaried,HighSchool,Single,Female,1,3656,20646,14660,MedicalLoan,156947
49,62068,2,DebtConsolidation,Salaried,Diploma,Married,Male,1,9633,33423,19012,DebtConsolidationLoan,176990
23,80488,28,Home,Salaried,HighSchool,Single,Female,3,10114,20122,50252,HomeLoan,2535680
28,20964,6,Wedding,Unemployed,Masters,Single,Male,2,1926,13083,5955,WeddingLoan,99302
25,54533,6,Wedding,Salaried,Bachelors,Married,Female,0,8495,35216,10822,WeddingLoan,226513
31,76398,13,Business,Salaried,PhD,Divorced,Male,0,3476,39636,33286,BusinessLoan,1155417
21,73153,5,DebtConsolidation,Salaried,Masters,Single,Female,1,10855,32979,29319,DebtConsolidationLoan,527060
41,8948,3,Personal,Student,Diploma,Single,Male,2,1746,4566,2636,PersonalLoan,45661
32,18839,5,Education,Student,Bachelors,Single,Male,0,1665,8115,9059,EducationLoan,161392
21,21214,3,Auto,Retired,Diploma,Single,Male,1,1586,8933,10695,AutoLoan,122614
24,83620,29,Home,Self-Employed,Masters,Married,Female,1,11305,44711,27604,HomeLoan,940746
38,61899,10,Home,Salaried,Bachelors,Single,Male,0,8398,30188,23313,HomeLoan,731485
43,39597,7,Business,Salaried,Diploma,Single,Male,0,3710,14329,21558,BusinessLoan,517258
54,82722,6,Education,Salaried,Masters,Divorced,Male,2,9111,30256,43355,EducationLoan,745649
64,108369,23,Home,Self-Employed,Masters,Married,Male,0,9996,67945,30428,HomeLoan,1037706
39,87332,30,Home,Self-Employed,Masters,Single,Female,1,4770,50478,32084,HomeLoan,1245169
25,58759,10,Business,Salaried,HighSchool,Single,Male,0,2412,21763,34584,BusinessLoan,911831
21,5411,6,DebtConsolidation,Retired,Diploma,Married,Male,1,539,2748,2124,DebtConsolidationLoan,45689
37,69860,3,Personal,Salaried,Diploma,Married,Male,0,5761,30069,34030,PersonalLoan,514359
26,54205,4,Medical,Salaried,Bachelors,Divorced,Male,0,1730,18884,33591,MedicalLoan,488891
30,51718,2,Wedding,Salaried,Bachelors,Single,Male,1,6206,18213,27299,WeddingLoan,199401
28,3000,9,Business,Unemployed,Diploma,Married,Male,0,303,2002,695,BusinessLoan,23982
33,43227,7,Business,Retired,Bachelors,Single,Male,1,4384,11946,26897,BusinessLoan,751141
45,58228,2,Personal,Salaried,Diploma,Single,Male,0,0,30623,27605,PersonalLoan,296960
36,21190,6,Wedding,Retired,Bachelors,Married,Male,0,1784,12152,7254,WeddingLoan,208860
33,53878,7,Education,Retired,Masters,Married,Female,0,8221,32894,12763,EducationLoan,305942
24,11857,3,Medical,Unemployed,Bachelors,Single,Male,1,1521,6481,3855,MedicalLoan,46551
21,3000,1,Personal,Unemployed,Diploma,Single,Female,2,422,1431,1147,PersonalLoan,4778
30,50697,7,Auto,Salaried,HighSchool,Married,Female,1,4821,34645,11231,AutoLoan,280639
34,11679,14,Business,Student,HighSchool,Single,Female,0,1204,7066,3409,BusinessLoan,167375
52,10538,3,Travel,Self-Employed,Bachelors,Single,Male,0,931,5845,3762,TravelLoan,42623
36,42709,2,Travel,Self-Employed,Bachelors,Single,Female,1,5906,15067,21736,TravelLoan,196841
44,51083,2,DebtConsolidation,Salaried,HighSchool,Single,Female,1,3379,12927,34777,DebtConsolidationLoan,448122
30,46641,2,Medical,Student,PhD,Married,Female,0,3958,25070,17613,MedicalLoan,197089
23,53008,1,Personal,Retired,Bachelors,Single,Female,2,6443,26389,20176,PersonalLoan,109826
25,66451,5,DebtConsolidation,Salaried,Masters,Married,Male,0,6304,24897,35250,DebtConsolidationLoan,555116
27,22769,6,Auto,Retired,Bachelors,Married,Female,0,50,13117,9602,AutoLoan,179756
56,87196,11,Home,Salaried,Masters,Single,Female,1,8222,21799,57175,HomeLoan,1773767
26,36746,2,Personal,Salaried,HighSchool,Married,Male,1,4839,27728,4179,PersonalLoan,46425
43,53156,4,Personal,Salaried,HighSchool,Single,Male,1,7343,28053,17760,PersonalLoan,396638
25,35135,7,Business,Student,Masters,Married,Female,1,3822,17153,14160,BusinessLoan,352895
44,89376,4,Travel,Self-Employed,Masters,Married,Male,0,0,49395,39981,TravelLoan,508808
38,64473,18,Home,Salaried,Bachelors,Married,Female,0,6812,40297,17364,HomeLoan,770706
33,35595,3,Medical,Self-Employed,HighSchool,Single,Male,0,5103,17025,13467,MedicalLoan,221708
34,59930,5,Personal,Salaried,Diploma,Married,Female,1,4582,36374,18974,PersonalLoan,408958
28,94303,5,Wedding,Salaried,Bachelors,Married,Male,1,8767,65493,20043,WeddingLoan,373017
39,21320,7,Education,Unemployed,Masters,Single,Female,0,2393,6465,12462,EducationLoan,254260
30,86607,4,Personal,Self-Employed,Diploma,Single,Male,2,15012,40453,31142,PersonalLoan,679174
22,10670,1,Medical,Student,HighSchool,Single,Female,0,1322,6494,2854,MedicalLoan,14611
22,107042,2,Personal,Self-Employed,Bachelors,Single,Male,0,12908,47615,46519,PersonalLoan,441913
36,47283,7,Auto,Retired,Bachelors,Single,Male,1,2303,22419,22561,AutoLoan,627876
50,44308,17,Home,Salaried,Bachelors,Divorced,Male,0,2695,19074,22539,HomeLoan,664715
36,22773,30,Home,Salaried,Bachelors,Widowed,Male,2,3759,16982,2032,HomeLoan,90013
33,83715,4,Personal,Salaried,PhD,Single,Other,1,8920,42571,32224,PersonalLoan,416563
37,35844,5,Personal,Self-Employed,Diploma,Divorced,Male,1,4467,14486,16891,PersonalLoan,282825
48,34786,2,Personal,Self-Employed,Bachelors,Married,Male,3,5732,24665,4389,PersonalLoan,57670
37,51570,6,Business,Self-Employed,Bachelors,Married,Female,2,6321,23860,21389,BusinessLoan,601637
30,47572,18,Home,Salaried,Bachelors,Divorced,Male,0,3346,28466,15760,HomeLoan,675601
46,20350,6,Auto,Salaried,Masters,Married,Male,1,1325,13695,5330,AutoLoan,88651
39,50127,3,Medical,Self-Employed,Bachelors,Married,Female,1,4063,37729,8335,MedicalLoan,127958
50,35852,3,Medical,Retired,Bachelors,Single,Male,1,3848,16219,15785,MedicalLoan,187410
36,90527,6,Business,Salaried,HighSchool,Single,Female,1,9781,41179,39567,BusinessLoan,814004
22,81788,1,Medical,Salaried,Bachelors,Divorced,Female,1,10853,22681,48254,MedicalLoan,239168
21,68936,2,Wedding,Salaried,HighSchool,Single,Male,2,8865,29941,30130,WeddingLoan,205837
51,49888,5,DebtConsolidation,Salaried,HighSchool,Single,Female,0,7335,18886,23667,DebtConsolidationLoan,297811
52,79013,14,Business,Salaried,Bachelors,Single,Female,0,10208,34128,34677,BusinessLoan,1443299
33,62146,9,Education,Salaried,Bachelors,Married,Male,2,7452,30948,23746,EducationLoan,826336
31,124001,26,Home,Self-Employed,PhD,Single,Female,1,14621,69270,40110,HomeLoan,1778298
49,86885,3,Personal,Salaried,Bachelors,Divorced,Male,2,16379,41187,29319,PersonalLoan,365651
23,84376,5,Personal,Salaried,Masters,Single,Female,2,9650,44513,30213,PersonalLoan,678350
26,59866,3,Auto,Salaried,Diploma,Married,Female,1,4795,33432,21639,AutoLoan,335764
41,14658,4,Auto,Retired,Bachelors,Married,Male,0,1934,7442,5282,AutoLoan,110672
31,96377,3,DebtConsolidation,Salaried,PhD,Married,Male,0,10375,48058,37944,DebtConsolidationLoan,534084
34,99908,30,Home,Salaried,Bachelors,Single,Male,1,15281,50284,34343,HomeLoan,1249766
33,83946,3,Medical,Salaried,Masters,Single,Female,4,17848,47604,18494,MedicalLoan,249193
38,34717,6,DebtConsolidation,Self-Employed,Bachelors,Married,Female,0,2423,17251,15043,DebtConsolidationLoan,279891
49,3000,12,Business,Unemployed,Diploma,Married,Male,1,169,1724,1107,BusinessLoan,42952
35,50007,25,Home,Salaried,Bachelors,Single,Male,0,4274,26423,19310,HomeLoan,801470
41,62324,1,Travel,Salaried,HighSchool,Married,Female,0,8057,33531,20736,TravelLoan,83060
21,65374,5,Business,Salaried,HighSchool,Married,Male,0,8482,25756,31136,BusinessLoan,651510
34,69160,4,Education,Self-Employed,Diploma,Single,Male,2,12645,33052,23463,EducationLoan,382999
26,8548,5,Personal,Retired,HighSchool,Married,Male,1,1209,3841,3498,PersonalLoan,65655
22,57699,7,Auto,Salaried,Diploma,Married,Female,0,9719,24276,23704,AutoLoan,616423
26,79554,11,Business,Salaried,Masters,Married,Male,1,3813,34966,40775,BusinessLoan,1275840
31,13865,6,DebtConsolidation,Student,Diploma,Single,Female,3,2485,6015,5365,DebtConsolidationLoan,177731
44,35808,1,Personal,Student,Masters,Single,Female,0,1523,13737,20548,PersonalLoan,113434
21,49268,6,Wedding,Salaried,Bachelors,Single,Male,1,8479,16577,24212,WeddingLoan,565914
35,57541,1,Personal,Salaried,HighSchool,Single,Female,0,3331,29806,24404,PersonalLoan,132357
30,31308,1,Travel,Salaried,HighSchool,Single,Male,0,3768,13065,14475,TravelLoan,67347
31,32656,4,Medical,Student,Masters,Married,Male,3,4965,20435,7256,MedicalLoan,107369
45,95295,29,Home,Self-Employed,Bachelors,Married,Female,1,12084,50225,32986,HomeLoan,1264277
40,91081,2,DebtConsolidation,Self-Employed,Masters,Single,Male,1,9624,40407,41050,DebtConsolidationLoan,434397
48,3000,3,DebtConsolidation,Unemployed,Diploma,Married,Female,1,328,1950,722,DebtConsolidationLoan,8648
33,65584,8,Education,Salaried,Bachelors,Single,Female,0,6122,19588,39874,EducationLoan,994690
28,57211,3,Medical,Salaried,Bachelors,Single,Male,0,6681,20816,29714,MedicalLoan,363948
32,115257,5,Auto,Salaried,PhD,Married,Female,0,8717,77139,29401,AutoLoan,493243
37,3000,19,Home,Unemployed,HighSchool,Married,Female,1,437,1806,757,HomeLoan,26448
36,81511,4,Auto,Self-Employed,Masters,Single,Male,1,12350,35453,33708,AutoLoan,376839
24,91594,6,Personal,Salaried,Diploma,Married,Male,2,11295,54603,25696,PersonalLoan,510123
35,57713,21,Home,Salaried,Masters,Married,Female,1,10700,41686,5327,HomeLoan,190290
37,56545,4,Auto,Self-Employed,Bachelors,Married,Male,0,6209,32095,18241,AutoLoan,351609
60,28047,6,Wedding,Student,Bachelors,Widowed,Male,0,1760,14993,11294,WeddingLoan,245676
53,96821,6,Personal,Self-Employed,Diploma,Single,Male,0,10124,46312,40385,PersonalLoan,1043934
26,80504,1,Travel,Salaried,Masters,Single,Male,3,17030,20803,42671,TravelLoan,217226
32,27381,7,Auto,Retired,Diploma,Married,Male,1,3658,16983,6740,AutoLoan,141662
21,25886,30,Home,Student,Bachelors,Married,Female,0,2280,13406,10200,HomeLoan,419672
29,54466,4,Medical,Self-Employed,Bachelors,Single,Female,4,3374,16546,34546,MedicalLoan,587686
38,84307,3,Education,Self-Employed,Bachelors,Single,Female,3,11070,21528,51709,EducationLoan,795353
47,39611,3,Personal,Retired,Bachelors,Single,Male,0,4244,12918,22449,PersonalLoan,345241
27,19790,6,Wedding,Retired,Bachelors,Single,Male,0,802,5008,13980,WeddingLoan,345093
28,56629,5,Education,Self-Employed,Bachelors,Single,Male,0,5694,18546,32389,EducationLoan,820822
21,64386,3,Personal,Salaried,Bachelors,Widowed,Male,3,13224,31326,19836,PersonalLoan,225609
33,79888,2,Personal,Salaried,Bachelors,Single,Female,1,8428,46824,24636,PersonalLoan,268698
24,11559,18,Home,Unemployed,Bachelors,Married,Male,1,456,7006,4097,HomeLoan,174683
29,24555,9,Business,Self-Employed,Masters,Single,Female,3,3451,11672,9432,BusinessLoan,214176
26,72521,3,Personal,Salaried,Bachelors,Single,Male,0,7788,44088,20645,PersonalLoan,316786
34,47852,4,Auto,Salaried,HighSchool,Married,Female,1,7670,13632,26550,AutoLoan,372526
21,35910,1,Personal,Retired,Bachelors,Single,Female,1,960,18643,16307,PersonalLoan,88575
21,28828,4,Personal,Retired,HighSchool,Single,Female,0,2399,14745,11684,PersonalLoan,174584
56,30581,5,Business,Retired,HighSchool,Married,Female,2,2486,19950,8145,BusinessLoan,139528
22,72469,6,DebtConsolidation,Salaried,Bachelors,Single,Female,3,12582,19593,40294,DebtConsolidationLoan,994100
24,26421,1,Medical,Student,Bachelors,Single,Female,1,2740,9844,13837,MedicalLoan,80516
53,9895,9,Education,Unemployed,Bachelors,Divorced,Male,1,2023,3828,4044,EducationLoan,155178
64,91295,4,Wedding,Salaried,PhD,Single,Male,0,5336,32064,53895,WeddingLoan,1088681
23,92377,2,Medical,Salaried,Diploma,Married,Female,0,11266,72171,8940,MedicalLoan,93202
31,16470,27,Home,Retired,HighSchool,Single,Male,1,2476,6973,7021,HomeLoan,220242
38,39727,19,Home,Salaried,HighSchool,Single,Female,0,2868,22753,14106,HomeLoan,508694
52,43856,3,Auto,Self-Employed,Diploma,Married,Male,1,5033,28093,10730,AutoLoan,102091
25,56688,20,Home,Self-Employed,Bachelors,Married,Female,1,6237,25849,24602,HomeLoan,888760
32,57014,3,Personal,Self-Employed,Bachelors,Single,Male,1,4575,24373,28066,PersonalLoan,257933
42,75750,9,Education,Salaried,Bachelors,Married,Female,0,3544,42119,30087,EducationLoan,764182
39,34092,4,Wedding,Self-Employed,Diploma,Married,Male,0,2168,21803,10121,WeddingLoan,141083
31,80791,1,Personal,Salaried,Bachelors,Married,Male,0,2784,51146,26861,PersonalLoan,118588
33,3000,4,Auto,Unemployed,HighSchool,Married,Female,0,180,2236,584,AutoLoan,11112
21,79362,3,Wedding,Salaried,Bachelors,Married,Male,1,8109,54842,16411,WeddingLoan,261413
32,76243,2,Personal,Self-Employed,Bachelors,Married,Male,0,6593,50754,18896,PersonalLoan,159100
32,3845,14,Home,Student,HighSchool,Single,Female,1,491,2218,1136,HomeLoan,50673
37,74642,11,Home,Salaried,Masters,Married,Female,2,9864,54883,9895,HomeLoan,266754
29,97963,12,Business,Salaried,Bachelors,Married,Male,0,4823,49736,43404,BusinessLoan,984748
39,13653,3,Personal,Student,Diploma,Divorced,Female,1,1734,5080,6839,PersonalLoan,105153
45,28822,3,Personal,Salaried,Bachelors,Divorced,Male,1,4082,13527,11213,PersonalLoan,158092
36,48721,2,Travel,Salaried,Bachelors,Single,Male,1,4412,13770,30539,TravelLoan,298009
38,68871,14,Business,Salaried,HighSchool,Single,Female,1,4869,24222,39780,BusinessLoan,1443761
35,24984,3,Travel,Retired,HighSchool,Married,Male,1,2302,13741,8941,TravelLoan,138055
35,79027,4,Medical,Self-Employed,Bachelors,Married,Male,0,5748,39091,34188,MedicalLoan,602125
27,62994,10,Business,Salaried,Masters,Married,Male,1,9815,39989,13190,BusinessLoan,352260
38,46324,7,Auto,Retired,Bachelors,Single,Female,1,6381,22252,17691,AutoLoan,463848
34,51829,6,Personal,Salaried,Bachelors,Married,Female,0,4140,32988,14701,PersonalLoan,304136
55,61252,4,Personal,Salaried,Bachelors,Divorced,Male,0,9557,24715,26980,PersonalLoan,384672
50,54885,3,Personal,Salaried,Bachelors,Widowed,Female,1,5961,24272,24652,PersonalLoan,289209
38,68342,6,Personal,Salaried,HighSchool,Single,Female,0,9332,19751,39259,PersonalLoan,883013
27,78685,5,Personal,Salaried,Diploma,Widowed,Male,0,10139,46173,22373,PersonalLoan,530972
